Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR6444265_2	92.4108825081016	52.0	250.98681136483532	251	40.0	26538.0
SRR6444279_1	97.23388348956237	51.0	249.92869055149808	250	40.0	34778.0
SRR6444279_2	94.2463626430502	51.0	250.98984990511244	251	40.0	34778.0
SRR6444288_1	97.3249686323714	49.0	249.97952321204517	250	40.0	19925.0
SRR6444288_2	92.75282308657465	50.0	250.98624843161858	251	40.0	19925.0
SRR6444294_1	97.22025825177688	50.0	250.01588955457152	250	40.0	26873.0
SRR6444294_2	92.471997916124	50.0	250.9877572284449	251	40.0	26873.0
SRR6444311_1	96.68068404821979	50.0	249.94785534062237	250	40.0	17835.0
SRR6444311_2	92.23437061956827	51.0	250.9896832071769	251	40.0	17835.0
SRR6444312_1	96.83324053452115	49.0	249.9384047884187	250	40.0	14368.0
SRR6444312_2	91.5576280623608	50.0	250.98907293986636	251	40.0	14368.0
SRR6444314_1	97.40442655935614	50.0	249.97334004024145	250	40.0	29820.0
SRR6444314_2	93.37357478202549	51.0	250.98722334004023	251	40.0	29820.0
SRR6444323_1	96.3412978550095	53.0	249.9529595438501	250	40.0	29464.0
SRR6444323_2	92.31604670105892	53.0	250.98805321748574	251	40.0	29464.0
SRR6444332_1	96.89518361321277	50.0	249.91331426462446	250	40.0	21676.0
SRR6444332_2	92.27255951282524	51.0	250.98389924340285	251	40.0	21676.0
SRR6444338_1	97.24277948785121	51.0	249.98038509398128	250	30.0	30538.0
SRR6444338_2	92.41273167856441	52.0	250.98965223655773	251	40.0	30538.0
SRR6444345_1	96.23009847728949	50.0	249.96815756366317	250	40.0	23051.0
SRR6444345_2	92.56431391262852	51.0	250.98685523404623	251	40.0	23051.0
SRR6444349_1	95.54372717707496	51.0	249.8995481834499	250	40.0	16157.0
SRR6444349_2	90.2704710032803	52.0	250.98514575725693	251	40.0	16157.0
SRR6444354_1	96.50480882007976	50.0	250.8716396903589	251	40.0	21315.0
SRR6444354_2	91.54585972319963	51.0	250.98780201735866	251	40.0	21315.0
SRR6444362_1	96.51726226529377	50.0	250.01761558651322	250	40.0	19812.0
SRR6444362_2	91.9442761962447	51.0	250.98889561881688	251	40.0	19812.0
SRR6444365_1	97.53729576130712	50.0	249.9402794222117	250	40.0	21115.0
SRR6444365_2	89.04570210750651	50.0	250.97774094245796	251	50.0	21115.0
SRR6444370_1	97.18672912220406	52.0	250.06549516339146	250	40.0	36079.0
SRR6444370_2	91.8373569112226	52.0	250.97854707724716	251	40.0	36079.0
SRR6444371_1	96.08568098701924	51.0	249.94956395932965	250	40.0	24883.0
SRR6444371_2	92.05481654141381	51.0	250.98529116264115	251	40.0	24883.0
SRR6444374_1	96.6110128261831	51.0	249.96083038478548	250	40.0	36176.0
SRR6444374_2	93.49015922158337	52.0	250.98844537815125	251	40.0	36176.0
SRR6444379_1	96.83616156787762	53.0	250.01921008604205	250	40.0	33472.0
SRR6444379_2	92.97024378585085	54.0	250.98515176864245	251	40.0	33472.0
SRR6444381_1	95.7420041612232	52.0	250.01146755697488	250	40.0	20667.0
SRR6444381_2	88.3485750229835	53.0	250.98398412928825	251	50.0	20667.0
SRR6444384_1	97.2905018691898	50.0	249.96099513679823	250	40.0	30227.0
SRR6444384_2	93.64806299004202	50.0	250.98610513779073	251	40.0	30227.0
SRR6444390_1	97.89598654486693	49.0	249.90749596016227	250	40.0	30323.0
SRR6444390_2	94.44645978300301	50.0	250.9853576493091	251	40.0	30323.0
SRR6444392_1	97.1812122344733	50.0	249.94580452251915	250	40.0	32106.0
SRR6444392_2	92.98884943624245	51.0	250.9844265869308	251	40.0	32106.0
SRR6444395_1	97.10037508703367	50.0	250.00759158187904	250	40.0	44523.0
SRR6444395_2	94.10192484783146	51.0	250.98531096287311	251	40.0	44523.0
SRR6444396_1	96.01954999779842	51.0	249.99273479811546	250	40.0	22711.0
SRR6444396_2	91.13205054819251	52.0	250.98863986614415	251	40.0	22711.0
SRR6444414_1	96.19830674047542	50.0	250.01636274829045	250	40.0	12284.0
SRR6444414_2	91.06154347118202	51.0	250.98550960599152	251	40.0	12284.0
SRR6444421_1	97.35767410412441	50.0	250.03029073698445	250	40.0	36975.0
SRR6444421_2	91.34009465855308	51.0	250.97830966869506	251	40.0	36975.0
SRR6444428_1	97.20251572327044	50.0	249.97013836477987	250	40.0	39750.0
SRR6444428_2	93.73584905660377	51.0	250.9880251572327	251	40.0	39750.0
SRR6444431_1	97.26656660754082	49.0	250.05198526401963	250	40.0	21987.0
SRR6444431_2	92.48646927730022	50.0	250.98499113112294	251	40.0	21987.0
SRR6444433_1	97.15235240453538	50.0	249.90890134236935	250	40.0	30692.0
SRR6444433_2	93.17085885572787	50.0	250.9834810374039	251	40.0	30692.0
SRR6444443_1	97.01092237726901	50.0	249.9978232984802	250	40.0	25727.0
SRR6444443_2	92.89851129163914	51.0	250.99071014887085	251	40.0	25727.0
SRR6444447_1	97.7878085478427	50.0	249.79736488959375	250	40.0	24591.0
SRR6444447_2	92.3752592411858	50.0	250.98222927087144	251	50.0	24591.0
SRR6444449_1	96.31933869915161	51.0	250.03911246465086	250	40.0	22985.0
SRR6444449_2	91.11159451816403	51.0	250.98612138351098	251	40.0	22985.0
SRR6444460_1	97.05589153984182	56.0	250.12946102213067	250	40.0	15047.0
SRR6444460_2	92.3041137768326	57.0	250.98670831394963	251	40.0	15047.0
SRR6444461_1	96.9713465630722	50.0	249.98812292769833	250	40.0	20207.0
SRR6444461_2	92.25515910328104	51.0	250.98644034245558	251	40.0	20207.0
SRR6444464_1	97.25426367560682	51.0	250.0461750760739	250	40.0	28262.0
SRR6444464_2	93.26657702922653	51.0	250.98704974877927	251	40.0	28262.0
SRR6444479_1	96.64290450928382	49.0	249.9496850132626	250	40.0	12064.0
SRR6444479_2	89.6800397877984	50.0	250.97969164456234	251	40.0	12064.0
SRR6444482_1	97.08998831320608	50.0	250.03311258278146	250	40.0	25670.0
SRR6444482_2	92.0997273081418	51.0	250.98613167121152	251	40.0	25670.0
SRR6444503_1	96.72918816955547	51.0	250.02840160871267	250	40.0	28097.0
SRR6444503_2	92.17354165925188	51.0	250.98366373634195	251	40.0	28097.0
SRR6444511_1	95.79952724717306	52.0	249.89586660704018	250	40.0	31306.0
SRR6444511_2	91.49683766690092	53.0	250.9827828531272	251	40.0	31306.0
SRR6444522_1	96.76869540515588	51.0	249.95813507563383	250	40.0	28162.0
SRR6444522_2	91.65187131595768	51.0	250.9859740075279	251	40.0	28162.0
SRR6444523_1	95.81866907752413	51.0	250.01633786445385	250	40.0	30971.0
SRR6444523_2	91.52755803816473	52.0	250.98653579154694	251	40.0	30971.0
SRR6444527_1	97.69758327890268	49.0	249.92031352057478	250	40.0	24496.0
SRR6444527_2	92.74575440888309	50.0	250.98799804049642	251	40.0	24496.0
SRR6444528_1	96.8368013436596	50.0	249.9724736400112	250	40.0	21434.0
SRR6444528_2	92.94578706727629	50.0	250.9876831202762	251	40.0	21434.0
SRR6444530_1	95.84571154767609	52.0	249.9511739338764	250	40.0	20870.0
SRR6444530_2	89.46813608049833	53.0	250.9851461427887	251	40.0	20870.0
SRR6444531_1	96.82558139534883	51.0	250.0210465116279	250	40.0	34400.0
SRR6444531_2	93.10755813953489	51.0	250.98718023255813	251	40.0	34400.0
SRR6444533_1	95.73773835015805	51.0	249.90272254512084	250	40.0	19614.0
SRR6444533_2	90.1906801264403	52.0	250.98531661058428	251	40.0	19614.0
SRR6444535_1	96.96412626713588	50.0	250.02237512474395	250	40.0	19039.0
SRR6444535_2	90.9816692053154	51.0	250.98077630127634	251	40.0	19039.0
SRR6444536_1	96.6612343821821	50.0	250.01073920855794	250	40.0	23931.0
SRR6444536_2	92.65805858509883	51.0	250.9872132380594	251	40.0	23931.0
SRR6444545_1	95.69563780568407	50.0	249.99884335756775	250	40.0	12104.0
SRR6444545_2	89.83807005948447	51.0	250.98570720423	251	40.0	12104.0
SRR6444549_1	95.50710099783538	51.0	249.9082941766538	250	30.0	18941.0
SRR6444549_2	86.15173433292857	52.0	250.97597803706245	251	40.0	18941.0
SRR6444550_1	97.56455758169135	50.0	249.93648268265818	250	40.0	32684.0
SRR6444550_2	93.97258597478888	50.0	250.9886794761963	251	40.0	32684.0
SRR6444551_1	97.11215345841501	51.0	249.98554326519184	250	40.0	28568.0
SRR6444551_2	92.69112293475217	51.0	250.98662839540745	251	40.0	28568.0
SRR6444556_1	95.95344535224295	52.0	249.9488207183598	250	40.0	12974.0
SRR6444556_2	91.7064899028827	52.0	250.9923693540928	251	40.0	12974.0
SRR6444566_1	96.35464443824034	53.0	249.9334742551749	250	40.0	25073.0
SRR6444566_2	92.37825549395764	54.0	250.98723726717984	251	40.0	25073.0
SRR6444568_1	96.56381819043557	50.0	249.92573107730223	250	40.0	21099.0
SRR6444568_2	91.44983174558035	51.0	250.98848286648655	251	40.0	21099.0
SRR6444572_1	96.59970541226613	51.0	249.97900278918175	250	40.0	31909.0
SRR6444572_2	93.02704566109875	52.0	250.98771506471527	251	40.0	31909.0
SRR6444581_1	96.39170590365809	50.0	249.95413799348063	250	40.0	22088.0
SRR6444581_2	91.27580586743933	50.0	250.98275081492213	251	40.0	22088.0
SRR6444596_1	96.0422878828951	52.0	249.98039215686273	250	40.0	11067.0
SRR6444596_2	89.90693051414114	52.0	250.9870787024487	251	40.0	11067.0
SRR6444603_1	95.6758578087269	53.0	249.93581175942046	250	40.0	17807.0
SRR6444603_2	89.56590105014882	54.0	250.986522154209	251	40.0	17807.0
SRR6444635_1	97.1795675336885	52.0	249.9738102699557	250	40.0	22337.0
SRR6444635_2	92.56838429511572	53.0	250.98549491874468	251	40.0	22337.0
SRR6444637_1	95.8386075949367	51.0	249.96408227848102	250	40.0	25280.0
SRR6444637_2	88.43354430379748	52.0	250.97432753164557	251	40.0	25280.0
SRR6444656_1	96.63438890342842	50.0	250.001779638838	250	40.0	19105.0
SRR6444656_2	92.63543574980372	50.0	250.98618162784612	251	40.0	19105.0
SRR6444657_1	97.85374554102259	52.0	249.97080856123662	250	40.0	16820.0
SRR6444657_2	90.90368608799048	52.0	250.98293697978596	251	50.0	16820.0
SRR6444667_1	96.15901571546733	50.0	249.94644334160463	250	40.0	19344.0
SRR6444667_2	89.51612903225806	51.0	250.98294044665013	251	40.0	19344.0
SRR6444669_1	96.20767847368833	49.0	249.93775901165063	250	40.0	12789.0
SRR6444669_2	91.34412385643913	50.0	250.9849870982876	251	40.0	12789.0
SRR6444670_1	97.08768597657486	50.0	249.97936055713834	250	40.0	31590.0
SRR6444670_2	93.05476416587527	51.0	250.98740107628996	251	40.0	31590.0
SRR6444675_1	97.37730459620877	49.0	249.98078421189302	250	40.0	15404.0
SRR6444675_2	93.99506621656712	50.0	250.98558815891977	251	40.0	15404.0
SRR6444678_1	96.74100863974282	51.0	250.02113723126382	250	40.0	24885.0
SRR6444678_2	92.31665662045408	51.0	250.98513160538477	251	40.0	24885.0
SRR6444679_1	97.4694862967765	51.0	250.02610989404033	250	40.0	22367.0
SRR6444679_2	93.80784190995664	52.0	250.98864398444135	251	40.0	22367.0
SRR6444680_1	97.21726997907139	50.0	249.98775288737306	250	40.0	25802.0
SRR6444680_2	93.63615223626076	51.0	250.98988450507713	251	40.0	25802.0
SRR6444695_1	96.53791607574873	50.0	250.03286894135314	250	40.0	11987.0
SRR6444695_2	90.12263285225661	51.0	250.98406607157753	251	40.0	11987.0
SRR6444702_1	97.11436950146627	50.0	249.97129032258064	250	40.0	34100.0
SRR6444702_2	93.58064516129032	50.0	250.98876832844576	251	40.0	34100.0
SRR6444708_1	97.19329114283282	50.0	250.0237250617249	250	40.0	35237.0
SRR6444708_2	93.11802934415529	51.0	250.98569685274	251	40.0	35237.0
SRR6444713_1	95.31214953271028	50.0	249.79828037383177	250	40.0	13375.0
SRR6444713_2	89.63738317757009	51.0	250.98422429906543	251	40.0	13375.0
SRR6444724_1	97.96284153005465	49.0	249.83339890710383	250	40.0	22875.0
SRR6444724_2	93.10601092896175	50.0	250.98373770491804	251	40.0	22875.0
SRR6444735_1	96.71937767008863	51.0	249.95600331569216	250	40.0	31366.0
SRR6444735_2	93.18689026334248	51.0	250.98852260409362	251	40.0	31366.0
SRR6444736_1	96.91828508611214	50.0	249.91183583730304	250	40.0	27290.0
SRR6444736_2	93.89519970685232	51.0	250.98860388420667	251	40.0	27290.0
SRR6444758_1	95.54629223343572	51.0	249.9334137779728	250	40.0	18232.0
SRR6444758_2	90.52215884159719	52.0	250.98623299692846	251	40.0	18232.0
SRR6444768_1	96.49985742800114	51.0	250.00570287995438	250	40.0	14028.0
SRR6444768_2	91.64528086683775	52.0	250.9870259481038	251	40.0	14028.0
SRR6444776_1	95.41973039215686	52.0	249.94355085784315	250	40.0	13056.0
SRR6444776_2	91.0922181372549	52.0	250.98690257352942	251	40.0	13056.0
SRR6444788_1	95.95871864302866	51.0	249.9453839472743	250	40.0	19573.0
SRR6444788_2	90.47156797629387	52.0	250.98697184897563	251	40.0	19573.0
SRR6444792_1	96.8984286741296	49.0	250.00277292800658	250	40.0	9737.0
SRR6444792_2	92.08175002567526	50.0	250.9868542672281	251	40.0	9737.0
SRR6444797_1	97.87668734038672	49.0	249.9206858810653	250	40.0	27410.0
SRR6444797_2	93.37468077344035	50.0	250.97946005107625	251	40.0	27410.0
SRR6444802_1	96.12604525912978	51.0	249.93338687579723	250	40.0	21167.0
SRR6444802_2	91.51981858553408	51.0	250.9911182501063	251	40.0	21167.0
SRR6444816_1	96.33474767536336	53.0	250.00740272636995	250	40.0	22154.0
SRR6444816_2	91.03547892028527	53.0	250.98492371580753	251	40.0	22154.0
SRR6444823_1	97.21612602591468	50.0	249.99948892162462	250	40.0	33263.0
SRR6444823_2	94.23383338844963	51.0	250.99010913026487	251	40.0	33263.0
SRR6444824_1	97.61815336463224	49.0	249.96400625978092	250	40.0	31950.0
SRR6444824_2	94.10328638497653	50.0	250.98748043818466	251	40.0	31950.0
SRR6444838_1	96.62088385724958	49.0	249.9474742830872	250	40.0	17401.0
SRR6444838_2	91.34532498132292	50.0	250.98528820182747	251	40.0	17401.0
SRR6444840_1	97.53567778324563	49.0	249.97584888518756	250	40.0	26417.0
SRR6444840_2	93.15970776393989	50.0	250.98504750728696	251	40.0	26417.0
SRR6444846_1	95.16304347826087	51.0	249.89422554347826	250	40.0	14720.0
SRR6444846_2	89.86413043478261	51.0	250.98315217391306	251	40.0	14720.0
SRR6444849_1	96.11749680715198	52.0	249.97423827768657	250	40.0	27405.0
SRR6444849_2	91.94307608100712	52.0	250.989308520343	251	40.0	27405.0
SRR6444854_1	97.99228825953996	58.0	249.9981385454062	250	40.0	15042.0
SRR6444854_2	93.15915436777024	59.0	250.98304746709215	251	50.0	15042.0
SRR6444859_1	96.93866066404051	51.0	249.95107859688613	250	40.0	26655.0
SRR6444859_2	92.84937160007503	51.0	250.98829487900957	251	40.0	26655.0
SRR6444863_1	96.68885417374176	52.0	250.00828635468315	250	40.0	29446.0
SRR6444863_2	93.5339265095429	52.0	250.989472254296	251	40.0	29446.0
SRR6444864_1	97.62837089028444	52.0	249.98537125969708	250	40.0	13535.0
SRR6444864_2	90.97155522718877	52.0	250.98042113040265	251	50.0	13535.0
SRR6444881_1	95.73638482729392	51.0	249.9099385463022	250	40.0	23595.0
SRR6444881_2	87.31087094723458	52.0	250.97270608179699	251	40.0	23595.0
SRR6444885_1	96.33672863472343	52.0	249.9518567578678	250	40.0	21893.0
SRR6444885_2	91.6046224820719	52.0	250.98894623852374	251	40.0	21893.0
SRR6444903_1	95.93164137227394	51.0	249.96116566764442	250	40.0	15682.0
SRR6444903_2	90.11605662543043	52.0	250.9873102920546	251	40.0	15682.0
SRR6444927_1	96.72847525687965	51.0	249.98886854848234	250	40.0	33868.0
SRR6444927_2	92.62430612967994	51.0	250.98715601747963	251	40.0	33868.0
SRR6444932_1	97.75	51.0	250.02947674418604	250	40.0	17200.0
SRR6444932_2	93.25	52.0	250.9868023255814	251	40.0	17200.0
SRR6444938_1	97.41964435967914	51.0	250.0044314803388	250	40.0	17827.0
SRR6444938_2	92.39916979862006	52.0	250.98822011555507	251	40.0	17827.0
SRR6444943_1	97.3086446334374	50.0	249.92168155883303	250	40.0	18578.0
SRR6444943_2	92.52341479168909	51.0	250.9870814942405	251	40.0	18578.0
SRR6444945_1	96.10555631648633	51.0	249.95169611468748	250	40.0	21903.0
SRR6444945_2	91.74085741679222	52.0	250.98762726567136	251	40.0	21903.0
SRR6444948_1	96.32930690747038	51.0	249.94051248973847	250	40.0	34108.0
SRR6444948_2	92.89902662132052	51.0	250.98777412923656	251	40.0	34108.0
SRR6444957_1	96.38460911388277	52.0	249.9587103611315	250	40.0	24534.0
SRR6444957_2	91.7706040596723	53.0	250.99038069617674	251	40.0	24534.0
SRR6444958_1	97.14072931350906	50.0	249.93911748277787	250	40.0	37597.0
SRR6444958_2	91.99936165119557	51.0	250.98569034763412	251	40.0	37597.0
SRR6444959_1	97.68233847318135	49.0	249.86921767098667	250	40.0	21142.0
SRR6444959_2	92.53618389934726	50.0	250.98316147951945	251	40.0	21142.0
SRR6444964_1	96.98436075461112	49.0	249.98120485307524	250	40.0	14259.0
SRR6444964_2	92.19440353460972	49.0	250.98695560698505	251	40.0	14259.0
SRR6444980_1	97.09303873286304	51.0	250.02470384666577	250	40.0	37565.0
SRR6444980_2	93.52322640756023	51.0	250.98778117928924	251	40.0	37565.0
SRR6444996_1	96.85143172481452	51.0	249.98191182782512	250	40.0	32618.0
SRR6444996_2	93.4821264332577	52.0	250.98838064872157	251	40.0	32618.0
SRR6444999_1	97.32646705109624	51.0	249.96305775694594	250	40.0	32429.0
SRR6444999_2	93.71858521693545	51.0	250.99016312559746	251	40.0	32429.0
SRR6445001_1	97.64514630747794	52.0	249.99047840222946	250	40.0	21530.0
SRR6445001_2	93.84115188109615	53.0	250.98871342313052	251	40.0	21530.0
SRR6445013_1	95.76527885015145	51.0	249.97719308665438	250	40.0	16837.0
SRR6445013_2	91.10886737542317	52.0	250.9899625824078	251	40.0	16837.0
SRR6445016_1	97.40774374638818	51.0	250.07979030793362	250	40.0	24226.0
SRR6445016_2	93.94452241393545	52.0	250.98765788821927	251	40.0	24226.0
SRR6445020_1	97.3397823458283	50.0	250.01282474075703	250	40.0	27291.0
SRR6445020_2	92.18790077314866	50.0	250.98563629035212	251	40.0	27291.0
SRR6445027_1	97.28580445832364	52.0	249.9774093883924	250	40.0	30101.0
SRR6445027_2	92.71452775655294	53.0	250.98867147270855	251	40.0	30101.0
SRR6445035_1	96.08054967373926	51.0	249.98911023724125	250	40.0	23141.0
SRR6445035_2	92.070351324489	51.0	250.98815954366708	251	40.0	23141.0
