Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Fungus_100_1	(221, 4.0)	(222, 7.0)	(223, 7.0)	(224, 26.0)	(225, 8.0)	(226, 10.0)	(227, 16.0)	(228, 12.0)	(229, 18.0)	(230, 5.0)	(231, 3.0)	(232, 5.0)	(233, 3.0)	(234, 4.0)	(235, 2.0)	(236, 5.0)	(237, 1.0)	(238, 55.0)	(239, 3.0)	(240, 26.0)	(241, 35.0)	(242, 40.0)	(243, 114.0)	(244, 517.0)	(245, 11617.0)	(246, 15776.0)	(247, 11525.0)	(248, 2197.0)	(249, 2254.0)	(250, 7381.0)	
Fungus_100_2	(220, 1.0)	(221, 7.0)	(222, 4.0)	(223, 4.0)	(224, 4.0)	(225, 1.0)	(226, 1.0)	(227, 4.0)	(228, 2.0)	(229, 1.0)	(230, 0.0)	(231, 4.0)	(232, 1.0)	(233, 8.0)	(234, 0.0)	(235, 1.0)	(236, 6.0)	(237, 5.0)	(238, 6.0)	(239, 1.0)	(240, 1.0)	(241, 22.0)	(242, 24.0)	(243, 76.0)	(244, 306.0)	(245, 7608.0)	(246, 8260.0)	(247, 8299.0)	(248, 8767.0)	(249, 8916.0)	(250, 9336.0)
Fungus_110_1	(222, 1.0)	(223, 1.0)	(224, 1.0)	(225, 3.0)	(226, 1.0)	(227, 1.0)	(228, 0.0)	(229, 0.0)	(230, 0.0)	(231, 1.0)	(232, 2.0)	(233, 6.0)	(234, 4.0)	(235, 10.0)	(236, 9.0)	(237, 7.0)	(238, 15.0)	(239, 18.0)	(240, 47.0)	(241, 314.0)	(242, 1017.0)	(243, 50.0)	(244, 333.0)	(245, 12113.0)	(246, 15432.0)	(247, 11334.0)	(248, 2740.0)	(249, 2311.0)	(250, 7674.0)		
Fungus_110_2	(221, 1.0)	(222, 2.0)	(223, 4.0)	(224, 1.0)	(225, 1.0)	(226, 5.0)	(227, 1.0)	(228, 1.0)	(229, 6.0)	(230, 1.0)	(231, 1.0)	(232, 2.0)	(233, 8.0)	(234, 4.0)	(235, 3.0)	(236, 21.0)	(237, 9.0)	(238, 7.0)	(239, 34.0)	(240, 23.0)	(241, 10.0)	(242, 7.0)	(243, 60.0)	(244, 262.0)	(245, 7430.0)	(246, 8268.0)	(247, 8434.0)	(248, 9063.0)	(249, 9752.0)	(250, 10024.0)	
Fungus_11_1	(220, 8.0)	(221, 2.0)	(222, 6.0)	(223, 10.0)	(224, 4.0)	(225, 6.0)	(226, 7.0)	(227, 9.0)	(228, 11.0)	(229, 7.0)	(230, 7.0)	(231, 5.0)	(232, 10.0)	(233, 5.0)	(234, 5.0)	(235, 4.0)	(236, 3.0)	(237, 4.0)	(238, 17.0)	(239, 3.0)	(240, 10.0)	(241, 17.0)	(242, 56.0)	(243, 148.0)	(244, 857.0)	(245, 17752.0)	(246, 23887.0)	(247, 16105.0)	(248, 3326.0)	(249, 3895.0)	(250, 10092.0)
Fungus_11_2	(220, 32.0)	(221, 43.0)	(222, 143.0)	(223, 37.0)	(224, 43.0)	(225, 19.0)	(226, 57.0)	(227, 19.0)	(228, 16.0)	(229, 29.0)	(230, 112.0)	(231, 20.0)	(232, 36.0)	(233, 16.0)	(234, 23.0)	(235, 16.0)	(236, 6.0)	(237, 3.0)	(238, 2.0)	(239, 5.0)	(240, 12.0)	(241, 109.0)	(242, 760.0)	(243, 375.0)	(244, 1054.0)	(245, 12074.0)	(246, 11818.0)	(247, 11964.0)	(248, 12422.0)	(249, 12019.0)	(250, 12994.0)
Fungus_18_1	(220, 6.0)	(221, 1.0)	(222, 0.0)	(223, 8.0)	(224, 1.0)	(225, 0.0)	(226, 2.0)	(227, 2.0)	(228, 3.0)	(229, 6.0)	(230, 2.0)	(231, 2.0)	(232, 1.0)	(233, 3.0)	(234, 3.0)	(235, 1.0)	(236, 4.0)	(237, 2.0)	(238, 40.0)	(239, 3.0)	(240, 9.0)	(241, 20.0)	(242, 42.0)	(243, 48.0)	(244, 388.0)	(245, 12664.0)	(246, 16545.0)	(247, 11989.0)	(248, 2425.0)	(249, 2364.0)	(250, 7538.0)
Fungus_18_2	(220, 2.0)	(221, 2.0)	(222, 2.0)	(223, 1.0)	(224, 1.0)	(225, 1.0)	(226, 2.0)	(227, 3.0)	(228, 1.0)	(229, 1.0)	(230, 7.0)	(231, 2.0)	(232, 1.0)	(233, 7.0)	(234, 2.0)	(235, 2.0)	(236, 4.0)	(237, 4.0)	(238, 13.0)	(239, 1.0)	(240, 2.0)	(241, 7.0)	(242, 13.0)	(243, 47.0)	(244, 791.0)	(245, 7321.0)	(246, 8524.0)	(247, 8478.0)	(248, 8991.0)	(249, 9859.0)	(250, 10030.0)
Fungus_2093R_1	(220, 1.0)	(221, 0.0)	(222, 1.0)	(223, 0.0)	(224, 4.0)	(225, 1.0)	(226, 1.0)	(227, 2.0)	(228, 1.0)	(229, 2.0)	(230, 2.0)	(231, 2.0)	(232, 3.0)	(233, 3.0)	(234, 1.0)	(235, 2.0)	(236, 1.0)	(237, 0.0)	(238, 2.0)	(239, 1.0)	(240, 4.0)	(241, 5.0)	(242, 19.0)	(243, 110.0)	(244, 699.0)	(245, 12361.0)	(246, 16700.0)	(247, 11354.0)	(248, 2688.0)	(249, 3006.0)	(250, 6639.0)
Fungus_2093R_2	(221, 1.0)	(222, 0.0)	(223, 1.0)	(224, 0.0)	(225, 1.0)	(226, 2.0)	(227, 1.0)	(228, 1.0)	(229, 2.0)	(230, 0.0)	(231, 1.0)	(232, 3.0)	(233, 2.0)	(234, 4.0)	(235, 11.0)	(236, 4.0)	(237, 1.0)	(238, 2.0)	(239, 1.0)	(240, 3.0)	(241, 35.0)	(242, 63.0)	(243, 75.0)	(244, 401.0)	(245, 7628.0)	(246, 8486.0)	(247, 8515.0)	(248, 8959.0)	(249, 9638.0)	(250, 9774.0)	
