Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Fungus_72_1	(220, 15.0)	(221, 39.0)	(222, 35.0)	(223, 23.0)	(224, 126.0)	(225, 41.0)	(226, 25.0)	(227, 33.0)	(228, 21.0)	(229, 42.0)	(230, 6.0)	(231, 10.0)	(232, 14.0)	(233, 9.0)	(234, 6.0)	(235, 11.0)	(236, 0.0)	(237, 4.0)	(238, 6.0)	(239, 19.0)	(240, 10.0)	(241, 26.0)	(242, 30.0)	(243, 92.0)	(244, 455.0)	(245, 12399.0)	(246, 15690.0)	(247, 11585.0)	(248, 2260.0)	(249, 2177.0)	(250, 7756.0)
Fungus_72_2	(220, 15.0)	(221, 9.0)	(222, 3.0)	(223, 5.0)	(224, 2.0)	(225, 16.0)	(226, 9.0)	(227, 15.0)	(228, 5.0)	(229, 4.0)	(230, 3.0)	(231, 17.0)	(232, 20.0)	(233, 17.0)	(234, 2.0)	(235, 3.0)	(236, 2.0)	(237, 4.0)	(238, 5.0)	(239, 5.0)	(240, 2.0)	(241, 9.0)	(242, 9.0)	(243, 50.0)	(244, 277.0)	(245, 7694.0)	(246, 8293.0)	(247, 8220.0)	(248, 8996.0)	(249, 9688.0)	(250, 9566.0)
Fungus_76_1	(220, 2.0)	(221, 3.0)	(222, 4.0)	(223, 0.0)	(224, 1.0)	(225, 0.0)	(226, 3.0)	(227, 0.0)	(228, 0.0)	(229, 1.0)	(230, 2.0)	(231, 1.0)	(232, 2.0)	(233, 0.0)	(234, 3.0)	(235, 16.0)	(236, 1.0)	(237, 1.0)	(238, 1.0)	(239, 5.0)	(240, 103.0)	(241, 100.0)	(242, 147.0)	(243, 145.0)	(244, 575.0)	(245, 11581.0)	(246, 14946.0)	(247, 11781.0)	(248, 3016.0)	(249, 2195.0)	(250, 7334.0)
Fungus_76_2	(220, 2.0)	(221, 3.0)	(222, 2.0)	(223, 6.0)	(224, 1.0)	(225, 2.0)	(226, 0.0)	(227, 1.0)	(228, 2.0)	(229, 2.0)	(230, 4.0)	(231, 7.0)	(232, 3.0)	(233, 2.0)	(234, 4.0)	(235, 2.0)	(236, 2.0)	(237, 0.0)	(238, 3.0)	(239, 13.0)	(240, 90.0)	(241, 42.0)	(242, 53.0)	(243, 184.0)	(244, 474.0)	(245, 7606.0)	(246, 8453.0)	(247, 8420.0)	(248, 8782.0)	(249, 9155.0)	(250, 8649.0)
Fungus_79_1	(220, 1.0)	(221, 0.0)	(222, 3.0)	(223, 2.0)	(224, 20.0)	(225, 35.0)	(226, 34.0)	(227, 51.0)	(228, 75.0)	(229, 101.0)	(230, 65.0)	(231, 32.0)	(232, 39.0)	(233, 80.0)	(234, 95.0)	(235, 85.0)	(236, 78.0)	(237, 107.0)	(238, 141.0)	(239, 96.0)	(240, 234.0)	(241, 228.0)	(242, 203.0)	(243, 176.0)	(244, 442.0)	(245, 13141.0)	(246, 17367.0)	(247, 12939.0)	(248, 2308.0)	(249, 2113.0)	(250, 9110.0)
Fungus_79_2	(222, 4.0)	(223, 3.0)	(224, 20.0)	(225, 19.0)	(226, 26.0)	(227, 25.0)	(228, 75.0)	(229, 67.0)	(230, 50.0)	(231, 51.0)	(232, 105.0)	(233, 117.0)	(234, 23.0)	(235, 39.0)	(236, 113.0)	(237, 161.0)	(238, 142.0)	(239, 40.0)	(240, 156.0)	(241, 155.0)	(242, 178.0)	(243, 322.0)	(244, 454.0)	(245, 8074.0)	(246, 9256.0)	(247, 9231.0)	(248, 9704.0)	(249, 10606.0)	(250, 10185.0)		
Fungus_7_1	(220, 72.0)	(221, 41.0)	(222, 15.0)	(223, 13.0)	(224, 13.0)	(225, 7.0)	(226, 26.0)	(227, 13.0)	(228, 18.0)	(229, 22.0)	(230, 2.0)	(231, 19.0)	(232, 16.0)	(233, 11.0)	(234, 2.0)	(235, 4.0)	(236, 21.0)	(237, 5.0)	(238, 6.0)	(239, 4.0)	(240, 6.0)	(241, 38.0)	(242, 22.0)	(243, 81.0)	(244, 532.0)	(245, 12162.0)	(246, 16324.0)	(247, 11508.0)	(248, 2176.0)	(249, 2133.0)	(250, 7906.0)
Fungus_7_2	(222, 1.0)	(223, 0.0)	(224, 1.0)	(225, 2.0)	(226, 4.0)	(227, 0.0)	(228, 3.0)	(229, 1.0)	(230, 2.0)	(231, 1.0)	(232, 5.0)	(233, 4.0)	(234, 1.0)	(235, 1.0)	(236, 6.0)	(237, 3.0)	(238, 6.0)	(239, 1.0)	(240, 8.0)	(241, 16.0)	(242, 42.0)	(243, 50.0)	(244, 485.0)	(245, 7335.0)	(246, 8496.0)	(247, 8418.0)	(248, 9074.0)	(249, 9689.0)	(250, 9563.0)		
Fungus_80_1	(220, 10.0)	(221, 6.0)	(222, 21.0)	(223, 4.0)	(224, 114.0)	(225, 12.0)	(226, 14.0)	(227, 37.0)	(228, 71.0)	(229, 8.0)	(230, 29.0)	(231, 4.0)	(232, 10.0)	(233, 2.0)	(234, 64.0)	(235, 10.0)	(236, 9.0)	(237, 32.0)	(238, 7.0)	(239, 11.0)	(240, 23.0)	(241, 3.0)	(242, 16.0)	(243, 58.0)	(244, 324.0)	(245, 11484.0)	(246, 14974.0)	(247, 11933.0)	(248, 2359.0)	(249, 1996.0)	(250, 8268.0)
Fungus_80_2	(220, 5.0)	(221, 2.0)	(222, 0.0)	(223, 0.0)	(224, 1.0)	(225, 1.0)	(226, 0.0)	(227, 5.0)	(228, 1.0)	(229, 0.0)	(230, 4.0)	(231, 9.0)	(232, 10.0)	(233, 4.0)	(234, 3.0)	(235, 4.0)	(236, 0.0)	(237, 7.0)	(238, 6.0)	(239, 9.0)	(240, 7.0)	(241, 6.0)	(242, 17.0)	(243, 57.0)	(244, 352.0)	(245, 7472.0)	(246, 8005.0)	(247, 8423.0)	(248, 8759.0)	(249, 9333.0)	(250, 9411.0)
Fungus_82_1	(220, 20.0)	(221, 19.0)	(222, 23.0)	(223, 40.0)	(224, 47.0)	(225, 17.0)	(226, 98.0)	(227, 50.0)	(228, 25.0)	(229, 54.0)	(230, 26.0)	(231, 17.0)	(232, 22.0)	(233, 14.0)	(234, 10.0)	(235, 18.0)	(236, 23.0)	(237, 10.0)	(238, 20.0)	(239, 19.0)	(240, 13.0)	(241, 28.0)	(242, 59.0)	(243, 241.0)	(244, 1324.0)	(245, 17969.0)	(246, 24039.0)	(247, 17283.0)	(248, 3636.0)	(249, 3650.0)	(250, 11215.0)
Fungus_82_2	(220, 1.0)	(221, 12.0)	(222, 16.0)	(223, 13.0)	(224, 4.0)	(225, 2.0)	(226, 2.0)	(227, 2.0)	(228, 6.0)	(229, 7.0)	(230, 8.0)	(231, 2.0)	(232, 3.0)	(233, 10.0)	(234, 5.0)	(235, 3.0)	(236, 10.0)	(237, 5.0)	(238, 10.0)	(239, 14.0)	(240, 11.0)	(241, 14.0)	(242, 46.0)	(243, 128.0)	(244, 830.0)	(245, 11509.0)	(246, 12543.0)	(247, 12691.0)	(248, 13317.0)	(249, 14356.0)	(250, 14449.0)
Fungus_85_1	(220, 4.0)	(221, 7.0)	(222, 9.0)	(223, 10.0)	(224, 8.0)	(225, 2.0)	(226, 2.0)	(227, 3.0)	(228, 2.0)	(229, 17.0)	(230, 8.0)	(231, 12.0)	(232, 7.0)	(233, 6.0)	(234, 9.0)	(235, 2.0)	(236, 42.0)	(237, 39.0)	(238, 23.0)	(239, 43.0)	(240, 24.0)	(241, 47.0)	(242, 29.0)	(243, 78.0)	(244, 709.0)	(245, 18602.0)	(246, 25383.0)	(247, 16812.0)	(248, 3390.0)	(249, 4283.0)	(250, 10524.0)
Fungus_85_2	(221, 9.0)	(222, 10.0)	(223, 12.0)	(224, 4.0)	(225, 5.0)	(226, 3.0)	(227, 2.0)	(228, 3.0)	(229, 2.0)	(230, 2.0)	(231, 4.0)	(232, 0.0)	(233, 5.0)	(234, 3.0)	(235, 6.0)	(236, 20.0)	(237, 14.0)	(238, 13.0)	(239, 44.0)	(240, 47.0)	(241, 43.0)	(242, 21.0)	(243, 42.0)	(244, 480.0)	(245, 11548.0)	(246, 12512.0)	(247, 12927.0)	(248, 13305.0)	(249, 14398.0)	(250, 14652.0)	
Fungus_89_1	(220, 14.0)	(221, 21.0)	(222, 19.0)	(223, 22.0)	(224, 20.0)	(225, 22.0)	(226, 20.0)	(227, 31.0)	(228, 24.0)	(229, 36.0)	(230, 16.0)	(231, 62.0)	(232, 32.0)	(233, 38.0)	(234, 11.0)	(235, 39.0)	(236, 32.0)	(237, 4.0)	(238, 14.0)	(239, 13.0)	(240, 6.0)	(241, 22.0)	(242, 44.0)	(243, 109.0)	(244, 861.0)	(245, 11700.0)	(246, 16240.0)	(247, 11750.0)	(248, 2274.0)	(249, 2181.0)	(250, 7848.0)
Fungus_89_2	(220, 6.0)	(221, 6.0)	(222, 11.0)	(223, 14.0)	(224, 4.0)	(225, 0.0)	(226, 7.0)	(227, 15.0)	(228, 14.0)	(229, 17.0)	(230, 25.0)	(231, 37.0)	(232, 15.0)	(233, 5.0)	(234, 22.0)	(235, 39.0)	(236, 23.0)	(237, 4.0)	(238, 5.0)	(239, 7.0)	(240, 2.0)	(241, 11.0)	(242, 28.0)	(243, 51.0)	(244, 341.0)	(245, 7438.0)	(246, 8657.0)	(247, 8199.0)	(248, 9179.0)	(249, 9811.0)	(250, 9532.0)
Fungus_93_1	(220, 4.0)	(221, 3.0)	(222, 2.0)	(223, 2.0)	(224, 3.0)	(225, 0.0)	(226, 0.0)	(227, 2.0)	(228, 1.0)	(229, 2.0)	(230, 0.0)	(231, 1.0)	(232, 0.0)	(233, 1.0)	(234, 7.0)	(235, 4.0)	(236, 19.0)	(237, 20.0)	(238, 24.0)	(239, 18.0)	(240, 39.0)	(241, 385.0)	(242, 507.0)	(243, 399.0)	(244, 709.0)	(245, 12945.0)	(246, 15337.0)	(247, 11727.0)	(248, 2251.0)	(249, 2291.0)	(250, 7026.0)
Fungus_93_2	(220, 1.0)	(221, 4.0)	(222, 3.0)	(223, 2.0)	(224, 1.0)	(225, 0.0)	(226, 3.0)	(227, 3.0)	(228, 3.0)	(229, 2.0)	(230, 2.0)	(231, 4.0)	(232, 1.0)	(233, 4.0)	(234, 7.0)	(235, 6.0)	(236, 16.0)	(237, 5.0)	(238, 18.0)	(239, 24.0)	(240, 23.0)	(241, 274.0)	(242, 101.0)	(243, 132.0)	(244, 742.0)	(245, 8115.0)	(246, 8498.0)	(247, 8187.0)	(248, 8602.0)	(249, 9514.0)	(250, 9432.0)
Fungus_95_1	(220, 20.0)	(221, 14.0)	(222, 1.0)	(223, 14.0)	(224, 14.0)	(225, 7.0)	(226, 1.0)	(227, 0.0)	(228, 3.0)	(229, 2.0)	(230, 0.0)	(231, 0.0)	(232, 1.0)	(233, 1.0)	(234, 3.0)	(235, 1.0)	(236, 5.0)	(237, 12.0)	(238, 11.0)	(239, 9.0)	(240, 43.0)	(241, 205.0)	(242, 833.0)	(243, 51.0)	(244, 374.0)	(245, 13181.0)	(246, 16697.0)	(247, 11986.0)	(248, 2559.0)	(249, 2473.0)	(250, 6877.0)
Fungus_95_2	(220, 13.0)	(221, 14.0)	(222, 3.0)	(223, 14.0)	(224, 21.0)	(225, 15.0)	(226, 2.0)	(227, 2.0)	(228, 5.0)	(229, 6.0)	(230, 3.0)	(231, 2.0)	(232, 1.0)	(233, 11.0)	(234, 2.0)	(235, 1.0)	(236, 6.0)	(237, 16.0)	(238, 2.0)	(239, 6.0)	(240, 10.0)	(241, 16.0)	(242, 20.0)	(243, 48.0)	(244, 530.0)	(245, 7595.0)	(246, 8880.0)	(247, 8770.0)	(248, 9500.0)	(249, 9634.0)	(250, 10250.0)
Fungus_99_1	(220, 1.0)	(221, 8.0)	(222, 6.0)	(223, 3.0)	(224, 1.0)	(225, 9.0)	(226, 6.0)	(227, 10.0)	(228, 14.0)	(229, 13.0)	(230, 22.0)	(231, 3.0)	(232, 4.0)	(233, 9.0)	(234, 7.0)	(235, 9.0)	(236, 3.0)	(237, 11.0)	(238, 4.0)	(239, 2.0)	(240, 9.0)	(241, 10.0)	(242, 26.0)	(243, 92.0)	(244, 668.0)	(245, 12657.0)	(246, 16914.0)	(247, 12217.0)	(248, 2593.0)	(249, 2731.0)	(250, 7323.0)
Fungus_99_2	(220, 2.0)	(221, 3.0)	(222, 5.0)	(223, 3.0)	(224, 9.0)	(225, 8.0)	(226, 4.0)	(227, 8.0)	(228, 11.0)	(229, 34.0)	(230, 16.0)	(231, 3.0)	(232, 0.0)	(233, 12.0)	(234, 15.0)	(235, 9.0)	(236, 3.0)	(237, 6.0)	(238, 1.0)	(239, 4.0)	(240, 11.0)	(241, 12.0)	(242, 12.0)	(243, 50.0)	(244, 291.0)	(245, 7902.0)	(246, 8948.0)	(247, 8637.0)	(248, 9208.0)	(249, 10336.0)	(250, 9822.0)
Fungus_B_1	(220, 2.0)	(221, 1.0)	(222, 3.0)	(223, 3.0)	(224, 3.0)	(225, 1.0)	(226, 7.0)	(227, 7.0)	(228, 5.0)	(229, 4.0)	(230, 2.0)	(231, 3.0)	(232, 3.0)	(233, 6.0)	(234, 2.0)	(235, 5.0)	(236, 4.0)	(237, 6.0)	(238, 8.0)	(239, 11.0)	(240, 13.0)	(241, 23.0)	(242, 47.0)	(243, 79.0)	(244, 700.0)	(245, 18142.0)	(246, 24915.0)	(247, 17568.0)	(248, 3912.0)	(249, 3992.0)	(250, 10474.0)
Fungus_B_2	(220, 3.0)	(221, 3.0)	(222, 1.0)	(223, 0.0)	(224, 2.0)	(225, 3.0)	(226, 1.0)	(227, 3.0)	(228, 3.0)	(229, 5.0)	(230, 3.0)	(231, 5.0)	(232, 2.0)	(233, 8.0)	(234, 6.0)	(235, 6.0)	(236, 1.0)	(237, 2.0)	(238, 41.0)	(239, 5.0)	(240, 6.0)	(241, 3.0)	(242, 15.0)	(243, 52.0)	(244, 313.0)	(245, 11539.0)	(246, 12918.0)	(247, 12235.0)	(248, 13165.0)	(249, 14749.0)	(250, 14853.0)
Fungus_C_1	(221, 1.0)	(222, 0.0)	(223, 0.0)	(224, 0.0)	(225, 0.0)	(226, 3.0)	(227, 2.0)	(228, 0.0)	(229, 2.0)	(230, 4.0)	(231, 1.0)	(232, 2.0)	(233, 0.0)	(234, 1.0)	(235, 1.0)	(236, 2.0)	(237, 0.0)	(238, 0.0)	(239, 8.0)	(240, 5.0)	(241, 3.0)	(242, 12.0)	(243, 126.0)	(244, 1515.0)	(245, 15785.0)	(246, 17240.0)	(247, 17545.0)	(248, 9798.0)	(249, 6242.0)	(250, 11499.0)	
Fungus_C_2	(220, 3.0)	(221, 2.0)	(222, 0.0)	(223, 1.0)	(224, 0.0)	(225, 1.0)	(226, 1.0)	(227, 0.0)	(228, 1.0)	(229, 5.0)	(230, 5.0)	(231, 4.0)	(232, 4.0)	(233, 9.0)	(234, 6.0)	(235, 3.0)	(236, 7.0)	(237, 2.0)	(238, 9.0)	(239, 2.0)	(240, 2.0)	(241, 3.0)	(242, 42.0)	(243, 60.0)	(244, 319.0)	(245, 11407.0)	(246, 12986.0)	(247, 13227.0)	(248, 13088.0)	(249, 14204.0)	(250, 14394.0)
Fungus_I_1	(220, 17.0)	(221, 14.0)	(222, 20.0)	(223, 41.0)	(224, 62.0)	(225, 19.0)	(226, 30.0)	(227, 22.0)	(228, 16.0)	(229, 35.0)	(230, 14.0)	(231, 16.0)	(232, 18.0)	(233, 18.0)	(234, 13.0)	(235, 10.0)	(236, 25.0)	(237, 12.0)	(238, 5.0)	(239, 16.0)	(240, 9.0)	(241, 32.0)	(242, 40.0)	(243, 134.0)	(244, 720.0)	(245, 16948.0)	(246, 18431.0)	(247, 18245.0)	(248, 7887.0)	(249, 5078.0)	(250, 11947.0)
Fungus_I_2	(220, 1.0)	(221, 1.0)	(222, 2.0)	(223, 1.0)	(224, 0.0)	(225, 2.0)	(226, 1.0)	(227, 10.0)	(228, 1.0)	(229, 3.0)	(230, 5.0)	(231, 8.0)	(232, 6.0)	(233, 3.0)	(234, 2.0)	(235, 4.0)	(236, 5.0)	(237, 7.0)	(238, 3.0)	(239, 7.0)	(240, 7.0)	(241, 19.0)	(242, 19.0)	(243, 72.0)	(244, 436.0)	(245, 11943.0)	(246, 12940.0)	(247, 12446.0)	(248, 12952.0)	(249, 14566.0)	(250, 14422.0)
Fungus_M6_1	(220, 5.0)	(221, 0.0)	(222, 3.0)	(223, 3.0)	(224, 2.0)	(225, 1.0)	(226, 2.0)	(227, 2.0)	(228, 1.0)	(229, 0.0)	(230, 3.0)	(231, 2.0)	(232, 5.0)	(233, 1.0)	(234, 2.0)	(235, 1.0)	(236, 4.0)	(237, 1.0)	(238, 3.0)	(239, 7.0)	(240, 6.0)	(241, 15.0)	(242, 42.0)	(243, 112.0)	(244, 737.0)	(245, 18767.0)	(246, 23358.0)	(247, 15473.0)	(248, 3397.0)	(249, 3586.0)	(250, 8870.0)
Fungus_M6_2	(220, 5.0)	(221, 0.0)	(222, 4.0)	(223, 0.0)	(224, 1.0)	(225, 0.0)	(226, 1.0)	(227, 1.0)	(228, 0.0)	(229, 5.0)	(230, 0.0)	(231, 1.0)	(232, 3.0)	(233, 4.0)	(234, 3.0)	(235, 6.0)	(236, 6.0)	(237, 6.0)	(238, 4.0)	(239, 3.0)	(240, 3.0)	(241, 8.0)	(242, 16.0)	(243, 57.0)	(244, 414.0)	(245, 11005.0)	(246, 12246.0)	(247, 11505.0)	(248, 12439.0)	(249, 13518.0)	(250, 13147.0)
Fungus_Q_1	(220, 1.0)	(221, 1.0)	(222, 1.0)	(223, 0.0)	(224, 6.0)	(225, 6.0)	(226, 2.0)	(227, 3.0)	(228, 4.0)	(229, 5.0)	(230, 16.0)	(231, 3.0)	(232, 3.0)	(233, 6.0)	(234, 7.0)	(235, 8.0)	(236, 9.0)	(237, 3.0)	(238, 4.0)	(239, 2.0)	(240, 10.0)	(241, 19.0)	(242, 26.0)	(243, 77.0)	(244, 1025.0)	(245, 17859.0)	(246, 24725.0)	(247, 17246.0)	(248, 3621.0)	(249, 3612.0)	(250, 11689.0)
Fungus_Q_2	(220, 2.0)	(221, 3.0)	(222, 1.0)	(223, 0.0)	(224, 0.0)	(225, 0.0)	(226, 3.0)	(227, 1.0)	(228, 0.0)	(229, 2.0)	(230, 3.0)	(231, 4.0)	(232, 4.0)	(233, 4.0)	(234, 3.0)	(235, 4.0)	(236, 4.0)	(237, 1.0)	(238, 2.0)	(239, 2.0)	(240, 11.0)	(241, 5.0)	(242, 13.0)	(243, 66.0)	(244, 547.0)	(245, 11866.0)	(246, 12904.0)	(247, 12443.0)	(248, 13057.0)	(249, 14157.0)	(250, 14887.0)
Fungus_R_1	(220, 22.0)	(221, 39.0)	(222, 59.0)	(223, 80.0)	(224, 58.0)	(225, 52.0)	(226, 47.0)	(227, 58.0)	(228, 35.0)	(229, 41.0)	(230, 24.0)	(231, 37.0)	(232, 40.0)	(233, 181.0)	(234, 40.0)	(235, 85.0)	(236, 64.0)	(237, 121.0)	(238, 25.0)	(239, 33.0)	(240, 139.0)	(241, 59.0)	(242, 89.0)	(243, 164.0)	(244, 784.0)	(245, 17899.0)	(246, 23710.0)	(247, 17253.0)	(248, 3541.0)	(249, 3402.0)	(250, 11994.0)
Fungus_R_2	(221, 2.0)	(222, 4.0)	(223, 0.0)	(224, 5.0)	(225, 2.0)	(226, 2.0)	(227, 3.0)	(228, 4.0)	(229, 3.0)	(230, 3.0)	(231, 3.0)	(232, 4.0)	(233, 5.0)	(234, 6.0)	(235, 13.0)	(236, 5.0)	(237, 15.0)	(238, 6.0)	(239, 16.0)	(240, 8.0)	(241, 15.0)	(242, 27.0)	(243, 74.0)	(244, 427.0)	(245, 11406.0)	(246, 12884.0)	(247, 12986.0)	(248, 12828.0)	(249, 14582.0)	(250, 14837.0)	
