Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Fungus_7_1	(1.0, 2.305610883535646)	(2.0, 1.311586305385396)	(3.0, 0.9470479912811456)	(4.0, 0.7290766282085008)	(5.0, 0.5261377729339698)	(6.0, 0.5749934232778383)	(7.0, 0.3551429967304296)	(8.0, 0.3006501559622684)	(9.0, 0.4904355669134503)	('>10', 5.674771693787816)	('>50', 3.2075613514224512)	('>100', 10.443834792739299)	('>500', 2.8542974181667855)	('>1k', 28.338156262918563)	('>5k', 0.0)	('>10k+', 41.94069675673644)
Fungus_7_2	(1.0, 2.4014431207486187)	(2.0, 1.078582434514638)	(3.0, 0.7779322785523695)	(4.0, 0.6013003119245368)	(5.0, 0.33823142545755197)	(6.0, 0.4171520913976474)	(7.0, 0.24991544214363562)	(8.0, 0.3307151715584952)	(9.0, 0.1352925701830208)	('>10', 2.350708406929986)	('>50', 1.745649968055921)	('>100', 11.283776165958887)	('>500', 7.792476229847043)	('>1k', 30.431432973805855)	('>5k', 0.0)	('>10k+', 40.06539140892179)
Fungus_80_1	(1.0, 1.70670159690251)	(2.0, 1.2675052491668755)	(3.0, 1.0459807755282877)	(4.0, 0.6857627183942365)	(5.0, 0.741625411746576)	(6.0, 0.5201009381079883)	(7.0, 0.39103885346637646)	(8.0, 0.4314911486525533)	(9.0, 0.22537707318012828)	('>10', 5.437944252884634)	('>50', 1.970604665498045)	('>100', 11.59632462003737)	('>500', 5.374376360449213)	('>1k', 27.48059252980949)	('>5k', 10.556122743821392)	('>10k+', 30.568451062354324)
Fungus_80_2	(1.0, 2.201760637990484)	(2.0, 1.3329994413730666)	(3.0, 1.0228651782790439)	(4.0, 0.8706874963881879)	(5.0, 0.7801514071619825)	(6.0, 0.4391963477356346)	(7.0, 0.512395739024907)	(8.0, 0.21574557432627664)	(9.0, 0.19070367730626242)	('>10', 3.093637431857146)	('>50', 1.4909560225762333)	('>100', 11.501935931269625)	('>500', 7.171614046577929)	('>1k', 31.72037832527498)	('>5k', 16.693313813495656)	('>10k+', 20.761658929362586)
Fungus_82_1	(1.0, 2.3466493396143897)	(2.0, 1.1945669694735659)	(3.0, 0.7984605580477077)	(4.0, 0.6897499656374565)	(5.0, 0.49981881567931624)	(6.0, 0.3973559584650564)	(7.0, 0.4111009758962376)	(8.0, 0.3898586762298667)	(9.0, 0.3036399305251846)	('>10', 5.667945369803446)	('>50', 2.940184183233578)	('>100', 8.000849691986653)	('>500', 5.011933174224343)	('>1k', 22.469354858863664)	('>5k', 7.44854990066101)	('>10k+', 41.42998163165853)
Fungus_82_2	(1.0, 2.4741031376126155)	(2.0, 0.9496557497907008)	(3.0, 0.7047445301078359)	(4.0, 0.5797898261880068)	(5.0, 0.44358919891539317)	(6.0, 0.322383136113159)	(7.0, 0.23616439040847695)	(8.0, 0.17993477364455385)	(9.0, 0.17993477364455385)	('>10', 2.0142698271876447)	('>50', 2.5265841132589437)	('>100', 6.471404116007948)	('>500', 9.84018293368654)	('>1k', 18.109685239100827)	('>5k', 18.278374089392596)	('>10k+', 36.68920016494021)
Fungus_85_1	(1.0, 1.3714185883997205)	(2.0, 0.8710192672456823)	(3.0, 0.7112908056304282)	(4.0, 0.434261755016472)	(5.0, 0.44923629829290207)	(6.0, 0.3968253968253968)	(7.0, 0.33193570929419985)	(8.0, 0.3593890386343217)	(9.0, 0.3032345013477089)	('>10', 5.2872616551861835)	('>50', 2.51821902765299)	('>100', 7.199011680143756)	('>500', 3.3118698213037834)	('>1k', 15.35015473694719)	('>5k', 8.50429270240591)	('>10k+', 52.600579015673354)
Fungus_85_2	(1.0, 1.4962064490366376)	(2.0, 0.8635319956074673)	(3.0, 0.5840071877807728)	(4.0, 0.5440750723769592)	(5.0, 0.5615453728661276)	(6.0, 0.40431266846361186)	(7.0, 0.3668763102725367)	(8.0, 0.4292702405909953)	(9.0, 0.3593890386343217)	('>10', 3.4778376759508838)	('>50', 0.7986423080762703)	('>100', 5.520614954577219)	('>500', 3.261954677049016)	('>1k', 15.639662573624838)	('>5k', 0.0)	('>10k+', 65.69207347509234)
Fungus_89_1	(1.0, 2.326015880429706)	(2.0, 1.2442783745913126)	(3.0, 1.0537132181223727)	(4.0, 0.919196637085474)	(5.0, 0.7099486221391873)	(6.0, 0.5829051844932275)	(7.0, 0.7062120504437178)	(8.0, 0.34376459598318543)	(9.0, 0.4708080336291453)	('>10', 5.546940681924335)	('>50', 2.1522652965903784)	('>100', 6.230733302195236)	('>500', 2.482951891639421)	('>1k', 41.66464269033162)	('>5k', 33.56562354040168)	('>10k+', 0.0)
Fungus_89_2	(1.0, 2.531527323680523)	(2.0, 1.203176085941149)	(3.0, 0.919196637085474)	(4.0, 0.560485754320411)	(5.0, 0.5137786081270435)	(6.0, 0.4147594581971042)	(7.0, 0.3007940214852873)	(8.0, 0.14946286781877627)	(9.0, 0.18496029892573565)	('>10', 1.9673049976646428)	('>50', 1.5730966837926204)	('>100', 10.783745913124708)	('>500', 5.840261560018683)	('>1k', 35.42830453059318)	('>5k', 11.187295656235403)	('>10k+', 26.441849602989258)
Fungus_93_1	(1.0, 2.214818812931564)	(2.0, 1.4480075936645016)	(3.0, 0.9882931005602188)	(4.0, 0.9380409090063095)	(5.0, 0.7444769119097694)	(6.0, 0.558357683932327)	(7.0, 0.6383889519626272)	(8.0, 0.5658024530514247)	(9.0, 0.3852668019133057)	('>10', 5.71386029890748)	('>50', 3.247780528206369)	('>100', 7.690446500027918)	('>500', 5.475627687096353)	('>1k', 32.825848238381504)	('>5k', 12.293175007910067)	('>10k+', 24.271808520538258)
Fungus_93_2	(1.0, 2.2650710044854736)	(2.0, 1.2507212120084126)	(3.0, 0.9268737553276628)	(4.0, 0.6625844515996948)	(5.0, 0.4280742243481174)	(6.0, 0.3796832250739824)	(7.0, 0.364793686835787)	(8.0, 0.29779076476390776)	(9.0, 0.2847624188054868)	('>10', 2.882986841370582)	('>50', 2.328351541997804)	('>100', 6.190325522529733)	('>500', 9.594446202237153)	('>1k', 30.0898955871131)	('>5k', 12.252228777755029)	('>10k+', 29.801410783748068)
Fungus_95_1	(1.0, 1.787068125203076)	(2.0, 1.0361384887541065)	(3.0, 0.7364886819018738)	(4.0, 0.5704177046102747)	(5.0, 0.42420303982093216)	(6.0, 0.4765515000541536)	(7.0, 0.4169825625473844)	(8.0, 0.28881909094191127)	(9.0, 0.19495288638579011)	('>10', 6.308892017762374)	('>50', 2.8899960287374995)	('>100', 5.6807104949637175)	('>500', 5.644608108595978)	('>1k', 12.213437308206073)	('>5k', 28.19957399184086)	('>10k+', 33.131159969673995)
Fungus_95_2	(1.0, 1.6119715513195423)	(2.0, 1.0144770569334631)	(3.0, 0.7635654716776779)	(4.0, 0.7581501137225171)	(5.0, 0.6137405682515614)	(6.0, 0.42239792050254527)	(7.0, 0.32853171594642405)	(8.0, 0.25993718184772013)	(9.0, 0.30867540344416766)	('>10', 3.6337051879129207)	('>50', 0.8971443012383118)	('>100', 3.408065273114553)	('>500', 0.0)	('>1k', 21.648795985414637)	('>5k', 25.54604859381205)	('>10k+', 38.78479367486191)
Fungus_99_1	(1.0, 2.152207276338359)	(2.0, 1.2891577141825403)	(3.0, 0.8287442448316331)	(4.0, 0.6644398302789564)	(5.0, 0.5958291956305859)	(6.0, 0.563329421323463)	(7.0, 0.5055520447774668)	(8.0, 0.4911077006409677)	(9.0, 0.3412476302247901)	('>10', 5.949264241220547)	('>50', 2.692064638440011)	('>100', 9.134242123318588)	('>500', 6.3302338178207105)	('>1k', 16.05669405073576)	('>5k', 23.551503114561704)	('>10k+', 28.85438295567392)
Fungus_99_2	(1.0, 1.8723481086936895)	(2.0, 0.9786043152478108)	(3.0, 0.8124943576780717)	(4.0, 0.6211067978694592)	(5.0, 0.49652432969215493)	(6.0, 0.5091631308115916)	(7.0, 0.37916403358310014)	(8.0, 0.40444163582197346)	(9.0, 0.45499684029972015)	('>10', 3.7194186151485056)	('>50', 1.0995756973909903)	('>100', 8.204387469531461)	('>500', 2.791369504378442)	('>1k', 21.94095874334206)	('>5k', 0.0)	('>10k+', 55.71544642051097)
Fungus_B_1	(1.0, 1.1944816199922452)	(2.0, 0.7654688496704232)	(3.0, 0.6528999011894785)	(4.0, 0.5203186952008104)	(5.0, 0.4377681329814511)	(6.0, 0.270165476354267)	(7.0, 0.3151930557466448)	(8.0, 0.2901777338619905)	(9.0, 0.21388100211379468)	('>10', 5.234456104363923)	('>50', 2.346437192780578)	('>100', 7.2469387499843645)	('>500', 3.741041387850058)	('>1k', 15.144275868969745)	('>5k', 8.835411689659917)	('>10k+', 52.791084539280305)
Fungus_B_2	(1.0, 1.4759039911946068)	(2.0, 0.8805393303398331)	(3.0, 0.6866705857337619)	(4.0, 0.5203186952008104)	(5.0, 0.37522982826981527)	(6.0, 0.36772523170441895)	(7.0, 0.2976823304273868)	(8.0, 0.2601593476004052)	(9.0, 0.16885342272141687)	('>10', 4.311390726820178)	('>50', 2.0224887743743043)	('>100', 3.5871971582594337)	('>500', 4.002451501544696)	('>1k', 26.797663568935974)	('>5k', 12.300033770684545)	('>10k+', 41.945691736188415)
Fungus_C_1	(1.0, 1.2531799441081746)	(2.0, 0.7569206862413373)	(3.0, 0.6729576299860897)	(4.0, 0.4511447798789428)	(5.0, 0.31329498602704364)	(6.0, 0.3383585849092071)	(7.0, 0.23685100943644496)	(8.0, 0.22055967016303873)	(9.0, 0.23685100943644496)	('>10', 4.804691905710741)	('>50', 0.9887589759013496)	('>100', 4.738273368673008)	('>500', 1.2243568053936866)	('>1k', 28.180257403160518)	('>5k', 0.0)	('>10k+', 55.583543240973974)
Fungus_C_2	(1.0, 1.5915385290173816)	(2.0, 0.8270987631113952)	(3.0, 0.5263355765254333)	(4.0, 0.5062846974197025)	(5.0, 0.43861298043786107)	(6.0, 0.24812962893341856)	(7.0, 0.28071230748023107)	(8.0, 0.30076318658596185)	(9.0, 0.2706868679273657)	('>10', 4.136746995501084)	('>50', 0.6040327330601402)	('>100', 4.807198265598958)	('>500', 2.2544707194506057)	('>1k', 15.3301502562753)	('>5k', 7.421331629008609)	('>10k+', 60.455906863666556)
Fungus_I_1	(1.0, 1.5382882319072773)	(2.0, 1.0113400255338323)	(3.0, 0.7960547725736601)	(4.0, 0.5206899141362304)	(5.0, 0.4067889954189301)	(6.0, 0.48063684381805893)	(7.0, 0.28037149222720104)	(8.0, 0.23030515432948656)	(9.0, 0.24782837259368662)	('>10', 4.70623576238516)	('>50', 1.6596991013092348)	('>100', 4.6812025934363035)	('>500', 6.160662878313765)	('>1k', 26.71915287756277)	('>5k', 0.0)	('>10k+', 50.5607429844544)
Fungus_I_2	(1.0, 2.349362905850252)	(2.0, 1.4619370666132625)	(3.0, 0.9162139835281748)	(4.0, 0.8361078428918317)	(5.0, 0.6696372693819311)	(6.0, 0.5332064986106592)	(7.0, 0.4117956292087015)	(8.0, 0.38050416802263)	(9.0, 0.29288807670162964)	('>10', 2.7486419505845245)	('>50', 1.311738052920119)	('>100', 4.3219766190202025)	('>500', 6.274563797031066)	('>1k', 21.582346609257268)	('>5k', 13.68938843968258)	('>10k+', 42.21969109069517)
Fungus_M6_1	(1.0, 1.7107685691631613)	(2.0, 1.2551907648062788)	(3.0, 1.0240421443066214)	(4.0, 0.860087890231283)	(5.0, 0.4905188748975286)	(6.0, 0.4676727903132601)	(7.0, 0.4233245084732096)	(8.0, 0.4085417478598594)	(9.0, 0.3991345365604548)	('>10', 6.618645092795419)	('>50', 3.242800123637634)	('>100', 6.9452097136176105)	('>500', 4.230557310075123)	('>1k', 28.224321672870943)	('>5k', 12.631197000443484)	('>10k+', 31.067987259948126)
Fungus_M6_2	(1.0, 1.3344801171869751)	(2.0, 0.8574001155743102)	(3.0, 0.782142425179073)	(4.0, 0.6235637204176802)	(5.0, 0.5442743680369838)	(6.0, 0.5079894101678515)	(7.0, 0.3762884519761863)	(8.0, 0.3225329588367311)	(9.0, 0.4475144803859644)	('>10', 3.391971617099623)	('>50', 1.9580438376046554)	('>100', 2.9229549394578758)	('>500', 2.9148916154869577)	('>1k', 3.2589267715794707)	('>5k', 17.943583609950142)	('>10k+', 61.81344156105952)
Fungus_Q_1	(1.0, 1.1150139376742207)	(2.0, 0.5850073125914074)	(3.0, 0.47250590632382905)	(4.0, 0.36500456255703195)	(5.0, 0.3062538281728522)	(6.0, 0.2925036562957037)	(7.0, 0.32375404692558657)	(8.0, 0.2100026250328129)	(9.0, 0.23625295316191453)	('>10', 4.603807547594345)	('>50', 2.335029187864848)	('>100', 7.495093688671109)	('>500', 0.0)	('>1k', 8.837610470130878)	('>5k', 21.281516018950235)	('>10k+', 51.54064425805323)
Fungus_Q_2	(1.0, 1.1287641095513694)	(2.0, 0.5725071563394543)	(3.0, 0.4687558594482431)	(4.0, 0.4000050000625008)	(5.0, 0.3000037500468756)	(6.0, 0.32250403130039124)	(7.0, 0.2012525156564457)	(8.0, 0.23000287503593797)	(9.0, 0.23625295316191453)	('>10', 4.191302391279891)	('>50', 1.158764484556057)	('>100', 2.385029812872661)	('>500', 4.326304078800985)	('>1k', 11.163889548619357)	('>5k', 0.0)	('>10k+', 72.91466143326791)
Fungus_R_1	(1.0, 1.7212347988774555)	(2.0, 1.0352354225132523)	(3.0, 0.7259120673526661)	(4.0, 0.5787340193327096)	(5.0, 0.45525413158715317)	(6.0, 0.5388213283442469)	(7.0, 0.34923604614904896)	(8.0, 0.26941066417212345)	(9.0, 0.25818521983161835)	('>10', 6.573121297162457)	('>50', 2.8125974430932335)	('>100', 6.922357343311505)	('>500', 2.0330526972248206)	('>1k', 17.033988150919864)	('>5k', 16.359214218896163)	('>10k+', 42.33364515123168)
Fungus_R_2	(1.0, 2.409728718428438)	(2.0, 1.5665731212971625)	(3.0, 1.028999064546305)	(4.0, 0.6735266604303087)	(5.0, 0.760835671967571)	(6.0, 0.4190832553788587)	(7.0, 0.38415965076395386)	(8.0, 0.3292797006548176)	(9.0, 0.33676333021515437)	('>10', 4.676021203617087)	('>50', 2.0841908325537886)	('>100', 8.4851886498285)	('>500', 0.7720611163080762)	('>1k', 27.673214842531962)	('>5k', 24.708450265045215)	('>10k+', 23.691923916432803)
