Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Fungus_100_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0012875812785681376)	(30.0, 0.0012875812785681376)	(31.0, 0.0038627438357044133)	(32.0, 0.0051503251142725505)	(33.0, 0.14549668447819952)	(34.0, 0.17897379772097133)	(35.0, 1.3828622931821686)	(36.0, 2.9176591772354614)	(37.0, 0.28713062512069476)	(38.0, 0.9360715895190459)	(39.0, 1.388012618296441)	(40.0, 0.14935942831390395)	(41.0, 0.15193459087104025)	(42.0, 1.3828622931821686)	(43.0, 1.3944505246892813)	(44.0, 2.322796626536914)	(45.0, 3.634841949397996)	(46.0, 5.223717247150826)	(47.0, 1.0017382347260215)	(48.0, 1.689306637481368)	(49.0, 4.058456190046926)	(50.0, 4.733148780016476)	(51.0, 14.879289255135847)	(52.0, 14.843236979335922)	(53.0, 10.805382089744407)	(54.0, 5.834030773191984)	(55.0, 1.9519732183092533)	(56.0, 2.0330908388590507)	(57.0, 3.283332260348854)	(58.0, 3.548574003733921)	(59.0, 2.7528487735787213)	(60.0, 4.882508208330346)	(61.0, 1.1382218502542365)	(62.0, 0.27554239361358174)	(63.0, 0.2485031867636512)	(64.0, 0.3090195068563528)	(65.0, 0.10686924612115531)	(66.0, 0.010300650228545101)	(67.0, 0.03733985707847599)	(68.0, 0.06566664520697506)	(69.0, 0.0038627438357044133)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_100_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.001191156851534166)	(19.0, 0.001191156851534166)	(20.0, 0.0)	(21.0, 0.001191156851534166)	(22.0, 0.001191156851534166)	(23.0, 0.003573470554602498)	(24.0, 0.010720411663807492)	(25.0, 0.13340956737182655)	(26.0, 0.01905850962454665)	(27.0, 0.01191156851534166)	(28.0, 1.3876977320372867)	(29.0, 1.5044311034876283)	(30.0, 0.0536020583190375)	(31.0, 0.055984372022105836)	(32.0, 0.028587764436819967)	(33.0, 1.1137316561844441)	(34.0, 1.2161711454163766)	(35.0, 0.32280350676575825)	(36.0, 0.27753954640746054)	(37.0, 0.5133886030112245)	(38.0, 1.2054507337525697)	(39.0, 0.7444730322088592)	(40.0, 1.087526205450694)	(41.0, 0.7909281494186929)	(42.0, 1.3126548503906386)	(43.0, 2.925481227367994)	(44.0, 2.8802172670096904)	(45.0, 0.5395940537449769)	(46.0, 0.941013912712)	(47.0, 1.3102725366875705)	(48.0, 2.678911759100394)	(49.0, 2.1821993520105902)	(50.0, 0.7325614636935173)	(51.0, 0.43238993710689994)	(52.0, 2.817085953878373)	(53.0, 3.3507242233657397)	(54.0, 4.210739470173317)	(55.0, 1.7736325519343348)	(56.0, 7.189822755859589)	(57.0, 9.473270440251536)	(58.0, 6.515627977891405)	(59.0, 4.209548313321783)	(60.0, 12.827568134173273)	(61.0, 13.549409186203304)	(62.0, 1.4853725938630828)	(63.0, 0.5014770344958824)	(64.0, 2.8313798360967843)	(65.0, 2.7241757194586973)	(66.0, 0.08457213645892572)	(67.0, 0.007146941109204994)	(68.0, 0.009529254812273328)	(69.0, 0.01191156851534166)	(70.0, 0.002382313703068332)	(71.0, 0.001191156851534166)	(72.0, 0.001191156851534166)	(73.0, 0.001191156851534166)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_110_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.003301455942071027)	(33.0, 0.007703397198165729)	(34.0, 0.015406794396331459)	(35.0, 0.05172280975911279)	(36.0, 0.16287182647550424)	(37.0, 3.521553004875883)	(38.0, 3.4324136944399863)	(39.0, 0.4412946109234921)	(40.0, 0.1650727971035516)	(41.0, 0.2068912390364516)	(42.0, 5.220702329728052)	(43.0, 5.04022273822821)	(44.0, 0.22229803343278293)	(45.0, 0.2806237550760369)	(46.0, 1.0366571658103012)	(47.0, 5.729126544806875)	(48.0, 3.7416500676805686)	(49.0, 1.2182372426241974)	(50.0, 0.319140741066865)	(51.0, 0.25091065159739806)	(52.0, 1.384410525041763)	(53.0, 28.305582761995414)	(54.0, 26.527198494531333)	(55.0, 0.855077088996405)	(56.0, 0.9684270763408371)	(57.0, 0.4522994640637291)	(58.0, 0.42478733121313644)	(59.0, 0.5392378038716019)	(60.0, 0.7329232191397744)	(61.0, 1.0388581364383485)	(62.0, 1.3657022747033616)	(63.0, 1.253452772672953)	(64.0, 3.4258107825558453)	(65.0, 1.3491949949930073)	(66.0, 0.19808735652426213)	(67.0, 0.018708250338402482)	(68.0, 0.005502426570118378)	(69.0, 0.04181844193289969)	(70.0, 0.04401941256094705)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0011004853140236758)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_110_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.001112297561843923)	(27.0, 0.001112297561843923)	(28.0, 0.001112297561843923)	(29.0, 0.005561487809219615)	(30.0, 0.004449190247375692)	(31.0, 0.005561487809219615)	(32.0, 0.014459868303971002)	(33.0, 0.027807439046098073)	(34.0, 0.05227798540666442)	(35.0, 0.3392507563623954)	(36.0, 3.7451058907285693)	(37.0, 0.3870795515216834)	(38.0, 0.4504805125467871)	(39.0, 0.3125556148781416)	(40.0, 0.27696209289913654)	(41.0, 0.5049830930771408)	(42.0, 1.7919113721305306)	(43.0, 4.887435486742019)	(44.0, 3.6472237052863266)	(45.0, 0.4171115856914689)	(46.0, 3.610517885745485)	(47.0, 5.513659014060005)	(48.0, 1.527184552411678)	(49.0, 1.1000622886636358)	(50.0, 0.4894109272113255)	(51.0, 0.4349083466809718)	(52.0, 0.46716497597444645)	(53.0, 0.9454529275673392)	(54.0, 28.842988076167565)	(55.0, 28.03101085602003)	(56.0, 1.0166399715253462)	(57.0, 0.9832710446700305)	(58.0, 0.979934151984499)	(59.0, 0.7519131518064989)	(60.0, 0.6317850151273517)	(61.0, 1.1100729667202305)	(62.0, 3.7128492614351036)	(63.0, 2.045515216230974)	(64.0, 0.623998932194444)	(65.0, 0.13013881473573902)	(66.0, 0.0333689268553177)	(67.0, 0.02669514148425415)	(68.0, 0.03448122441716162)	(69.0, 0.08008542445276241)	(70.0, 0.00333689268553177)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_11_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0036497682397169675)	(31.0, 0.014599072958867868)	(32.0, 0.0036497682397169675)	(33.0, 0.0045622102996462095)	(34.0, 0.03011058797766499)	(35.0, 0.13595386692945727)	(36.0, 0.1979999270046456)	(37.0, 4.522975291068988)	(38.0, 7.635315157488309)	(39.0, 1.9444140297092443)	(40.0, 1.4653819482463377)	(41.0, 0.33395379393410074)	(42.0, 0.2819445965181347)	(43.0, 0.5292163947589633)	(44.0, 1.2144603817657997)	(45.0, 4.872440600021808)	(46.0, 7.773093908537687)	(47.0, 19.11474871345254)	(48.0, 4.038468557246671)	(49.0, 2.8924413299758034)	(50.0, 3.8550677032009353)	(51.0, 2.310303295740912)	(52.0, 2.5183400854048026)	(53.0, 2.8030220081027584)	(54.0, 3.393372020876843)	(55.0, 2.625095806416536)	(56.0, 4.219132085112619)	(57.0, 4.983758531333151)	(58.0, 3.031132523085017)	(59.0, 4.210920106573258)	(60.0, 2.8294828278407005)	(61.0, 3.4773166903903148)	(62.0, 2.0922296434177983)	(63.0, 0.1751888755064149)	(64.0, 0.3257418153947377)	(65.0, 0.07390780685426852)	(66.0, 0.014599072958867868)	(67.0, 0.005474652359575451)	(68.0, 0.011861746779080145)	(69.0, 0.020073725318443314)	(70.0, 0.012774188839009387)	(71.0, 0.0018248841198584837)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_11_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0017665191623165866)	(21.0, 0.012365634136216105)	(22.0, 0.0008832595811582933)	(23.0, 0.0008832595811582933)	(24.0, 0.00529955748694976)	(25.0, 0.0070660766492663465)	(26.0, 0.01413215329853269)	(27.0, 0.10775766890131183)	(28.0, 0.052112315288339296)	(29.0, 0.09715855392741221)	(30.0, 0.10864092848247012)	(31.0, 0.10864092848247012)	(32.0, 0.11747352429405311)	(33.0, 0.1333721967549025)	(34.0, 0.3930505136154401)	(35.0, 6.318839043606342)	(36.0, 4.587650264535872)	(37.0, 2.16928553132483)	(38.0, 1.9440543381294393)	(39.0, 4.149553512281458)	(40.0, 7.852177676497836)	(41.0, 11.734986795270256)	(42.0, 6.166035136065888)	(43.0, 1.2665942393809668)	(44.0, 0.6306473409470278)	(45.0, 0.44781260764725583)	(46.0, 1.533338632890786)	(47.0, 2.698358020438708)	(48.0, 0.6571451283817773)	(49.0, 0.9132904069176696)	(50.0, 1.826580813835373)	(51.0, 1.2091823666056811)	(52.0, 3.3758181191869694)	(53.0, 3.675243117199563)	(54.0, 2.524355882950504)	(55.0, 2.300007949336272)	(56.0, 2.524355882950504)	(57.0, 2.3141401026348065)	(58.0, 2.239063038236343)	(59.0, 3.8298135439022287)	(60.0, 6.170451433971682)	(61.0, 7.142920232827405)	(62.0, 1.8822261674483518)	(63.0, 0.8726604661843905)	(64.0, 1.2445127498520108)	(65.0, 1.4759267601154906)	(66.0, 0.4663610588515805)	(67.0, 0.08920921769698753)	(68.0, 0.1598699841896515)	(69.0, 0.19785014617945776)	(70.0, 0.12188982219984461)	(71.0, 0.0070660766492663465)	(72.0, 0.030914085340540274)	(73.0, 0.0070660766492663465)	(74.0, 0.03709690240864834)	(75.0, 0.008832595811582935)	(76.0, 0.00529955748694976)	(77.0, 0.02119822994779903)	(78.0, 0.007949336230424639)	(79.0, 0.0017665191623165866)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_18_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.013483085469280369)	(37.0, 0.43550366065775403)	(38.0, 0.4975258538164429)	(39.0, 0.18876319656992538)	(40.0, 0.43820027775161013)	(41.0, 2.1936980058518825)	(42.0, 1.131230870872629)	(43.0, 3.608073671579554)	(44.0, 0.9370744401149945)	(45.0, 0.6444914854316022)	(46.0, 0.7456146264512078)	(47.0, 3.9424541912177453)	(48.0, 6.428735151752547)	(49.0, 5.769412272304887)	(50.0, 4.820203055267765)	(51.0, 4.328070435639144)	(52.0, 2.964930494694807)	(53.0, 8.277266169590465)	(54.0, 33.9288362748865)	(55.0, 6.136152197069229)	(56.0, 1.581565925546568)	(57.0, 1.8512276349321597)	(58.0, 1.44134183666606)	(59.0, 1.674599215284597)	(60.0, 2.2354955708066564)	(61.0, 3.035042539135073)	(62.0, 0.3465152965605049)	(63.0, 0.11865115212966709)	(64.0, 0.05258403333019345)	(65.0, 0.04449418204862522)	(66.0, 0.0984265239257466)	(67.0, 0.09033667264417841)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_18_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.004032095480021484)	(30.0, 0.004032095480021484)	(31.0, 0.0)	(32.0, 0.0026880636533476556)	(33.0, 0.005376127306695311)	(34.0, 0.04972917758693165)	(35.0, 0.3642326250286066)	(36.0, 0.26208620620139705)	(37.0, 0.28627877908152566)	(38.0, 1.3547840812872118)	(39.0, 0.2822466836015042)	(40.0, 1.0389366020188802)	(41.0, 1.4072013225274882)	(42.0, 0.6827681679503064)	(43.0, 3.483730494738676)	(44.0, 3.2539010523774254)	(45.0, 0.38304907060203985)	(46.0, 0.5282045078828118)	(47.0, 1.5940217464351396)	(48.0, 4.548203701464326)	(49.0, 8.398854884884063)	(50.0, 5.337150383721683)	(51.0, 1.9475021168503364)	(52.0, 1.9461580850236626)	(53.0, 4.811633939492336)	(54.0, 32.75943174333611)	(55.0, 7.529266293026198)	(56.0, 2.7727376584281402)	(57.0, 2.3910326196527296)	(58.0, 1.7902503931295073)	(59.0, 4.624813515584717)	(60.0, 2.7646734674680964)	(61.0, 1.3520960176338643)	(62.0, 0.6397591494967426)	(63.0, 0.4099297071355161)	(64.0, 0.5913740037364834)	(65.0, 0.1370912463207303)	(66.0, 0.08198594142710348)	(67.0, 0.08064190960042966)	(68.0, 0.004032095480021484)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0013440318266738278)	(72.0, 0.04704111393358399)	(73.0, 0.04569708210691016)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_2093R_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0012560604918732887)	(31.0, 0.0037681814756198666)	(32.0, 0.026377270329339054)	(33.0, 0.03391363328057879)	(34.0, 0.015072725902479467)	(35.0, 0.00879242344311302)	(36.0, 0.05777878262617132)	(37.0, 0.12434998869545542)	(38.0, 0.43459693018815576)	(39.0, 1.5248574371341517)	(40.0, 2.906523978194857)	(41.0, 4.671288969276751)	(42.0, 1.4193483558168014)	(43.0, 3.1263345642727076)	(44.0, 1.7019619664882752)	(45.0, 2.7721255055644)	(46.0, 2.7444921747431845)	(47.0, 1.9192604315823418)	(48.0, 5.384731328660617)	(49.0, 9.936694551209895)	(50.0, 20.48760268294342)	(51.0, 12.507850378075686)	(52.0, 9.824905167433121)	(53.0, 6.427261536915209)	(54.0, 3.6036375511846117)	(55.0, 2.346320998819307)	(56.0, 2.8864270103248826)	(57.0, 1.7383877207525984)	(58.0, 0.7963423518476712)	(59.0, 0.27256512673650385)	(60.0, 0.1896651342728669)	(61.0, 0.06531514557741104)	(62.0, 0.00879242344311302)	(63.0, 0.012560604918732888)	(64.0, 0.006280302459366443)	(65.0, 0.006280302459366443)	(66.0, 0.0037681814756198666)	(67.0, 0.0025121209837465773)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Fungus_2093R_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0013266118333775624)	(21.0, 0.0013266118333775624)	(22.0, 0.0)	(23.0, 0.0013266118333775624)	(24.0, 0.0053064473335102495)	(25.0, 0.009286282833642936)	(26.0, 0.0026532236667551248)	(27.0, 0.003979835500132687)	(28.0, 0.010612894667020499)	(29.0, 0.19368532767312438)	(30.0, 0.1644998673388178)	(31.0, 0.007959671000265374)	(32.0, 0.007959671000265374)	(33.0, 0.013266118333775626)	(34.0, 0.04510480233483714)	(35.0, 0.08224993366940885)	(36.0, 0.5014592730167158)	(37.0, 1.237728840541265)	(38.0, 3.593791456619947)	(39.0, 3.6004245157868353)	(40.0, 1.4208012735473583)	(41.0, 0.6208543380206994)	(42.0, 0.9657734146988756)	(43.0, 1.294773149376497)	(44.0, 2.9397718227647345)	(45.0, 3.4452109312816432)	(46.0, 9.371185990978914)	(47.0, 5.900769434863168)	(48.0, 12.005837092067951)	(49.0, 6.227115945873974)	(50.0, 4.911117007163731)	(51.0, 6.037410453701026)	(52.0, 7.1836030777389785)	(53.0, 6.079862032369097)	(54.0, 6.745821172724482)	(55.0, 3.8312549747945575)	(56.0, 1.2417086760413973)	(57.0, 1.5282568320509347)	(58.0, 1.583974529052789)	(59.0, 0.8503581851950243)	(60.0, 1.2204828867073576)	(61.0, 1.6529583443884184)	(62.0, 0.8158662775272068)	(63.0, 0.9060758821968835)	(64.0, 0.4470681878482365)	(65.0, 0.6075882196869234)	(66.0, 0.5677898646855954)	(67.0, 0.09153621650305176)	(68.0, 0.007959671000265374)	(69.0, 0.003979835500132687)	(70.0, 0.003979835500132687)	(71.0, 0.0013266118333775624)	(72.0, 0.0013266118333775624)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0013266118333775624)	(83.0, 0.0013266118333775624)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
