Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR6443835_1										3.5481503863253763	2.1064445115897614	5.777614710579703	2.91362714205551	19.583890879267923	0.0	62.28471532783701
SRR6443835_2										5.969698277722623	1.2625717615573877	8.091250485604522	8.66534294470583	36.91889325333448	0.0	27.213277506798462
SRR6443836_1										2.3740823258701926	2.3485152854377445	10.763724022060703	7.8709960188465615	41.91533657182512	28.594908506519594	0.0
SRR6443836_2										3.3456298623032255	2.885423134519157	15.157602542094306	8.407903867927974	57.73037729646809	0.0	0.0
SRR6443837_1										4.177837354781055	3.5895144474232947	13.866547512660112	22.192433720583853	47.594578492701814	0.0	0.0
SRR6443837_2										7.864164432529044	2.2639261245159368	21.596663687816502	20.3157581173667	28.96931784331248	0.0	0.0
SRR6443838_1										4.161877895030126	2.2672656984641106	13.976247692682756	11.75425765332776	36.00807996377947	24.382683801762266	0.0
SRR6443838_2										6.359488733326368	4.06436109079511	16.334064709365094	13.892661860481315	44.52686936230975	0.0	0.0
SRR6443839_1										3.438121766812575	3.4805677145510012	18.286244860061014	18.007693328027592	49.794402440641996	0.0	0.0
SRR6443839_2										4.570897997081841	3.7723836052526862	27.518238493168855	12.054649157713225	40.0875447672105	0.0	0.0
SRR6443840_1										4.2461515798777345	1.8487147381601239	0.6555203653237092	4.201959195698608	11.000220961920895	0.0	74.73300434558445
SRR6443840_2										5.896000589231789	1.7787434632098402	5.454076747440524	0.0	11.920895632319363	0.0	66.67525963025706
SRR6443841_1										4.123338708780515	1.4847355836067397	11.48028693766335	0.0	34.702218762164264	0.0	42.77095034198965
SRR6443841_2										6.353222487905244	3.2808763832508485	12.103097369738085	7.557137296335428	26.441639326030142	0.0	29.152532947784017
SRR6443842_1										3.655146269033929	1.2131168256776395	7.878941050104252	9.512225943008783	22.755417956656345	0.0	50.32855247362102
SRR6443842_2										4.75453339230429	1.8986541985215137	9.186832627787958	13.066279143236242	35.78378719909016	22.809123649459785	0.0
SRR6443843_1										3.9092007856171627	0.9442513974920683	6.526665659465176	5.756156519111649	20.161655839250642	0.0	58.03369088986252
SRR6443843_2										6.568212720954827	2.723221030367125	10.394319383592688	7.489802084907085	23.86689832300952	33.25653421967065	0.0
SRR6443844_1										5.400902464422075	3.5334953141270393	27.171121138493582	20.50676848316557	35.98750433877126	0.0	0.0
SRR6443844_2										7.171121138493579	8.156889968760847	33.71745921555016	19.597362027073935	17.001041305102397	0.0	0.0
SRR6443845_1										4.447028048248801	0.716950055708957	10.017923751392724	0.0	5.813108559802354	0.0	74.8292399360558
SRR6443845_2										4.790970304703774	3.1875211936249577	16.150753281984205	7.775032698735648	24.172843094511457	30.150656396841548	0.0
SRR6443846_1										4.169303502959461	1.3177977143282582	3.5364627926888286	9.909541004355434	19.94937274317835	0.0	55.81282805345643
SRR6443846_2										6.387968581320032	3.815657223690578	7.422849272233183	10.292968022931168	29.397312288277554	25.458809514946207	0.0
SRR6443847_1										2.251295556877071	2.0927137314869877	11.00727777305808	10.51454138702461	35.11171523235069	0.0	32.92838331492651
SRR6443847_2										4.174100189731827	4.131622915073769	18.033019001500865	11.848327811287627	18.76645994393	0.0	29.513210432418656
SRR6443848_1										4.410371478434306	2.3211169284467714	7.3996509598603835	8.748441785091	29.19471453502867	12.700074794315633	28.192470705559714
SRR6443848_2										5.1333831962104215	4.098728496634256	10.274245823984044	9.683370730491148	43.455497382198956	13.201196709050112	0.0
SRR6443849_1										3.9358542862799446	1.4036824391209661	6.483864581271035	6.353197386656108	30.12274797069887	9.964363492377746	36.11562066917442
SRR6443849_2										6.123539893090477	2.070877054048703	11.37200554345674	11.221540289051674	29.002177786576915	0.0	25.6899623836864
SRR6443850_1										3.6814684470206673	1.1385984887692786	12.486630093503088	6.942000483041783	37.44953938515682	30.94917710381948	0.0
SRR6443850_2										4.923575889314426	2.9327536831935963	12.40727322913432	18.452196114963947	45.55084014767277	0.0	0.0
SRR6443851_1										2.314578598265226	2.3006632960712463	18.994387494781762	10.459668815807783	5.222876756806902	0.0	55.83283083630967
SRR6443851_2										5.204323020548262	2.2218099169720302	18.01103947307389	14.750220325618072	14.75949719374739	33.883760842339626	0.0
SRR6443852_1										3.968410661401777	2.0072392234287593	16.136887133925633	15.097071405067455	13.820335636722605	41.33596577821652	0.0
SRR6443852_2										5.409674234945705	5.8177031918394215	12.931885488647582	26.40342217834814	31.37874300756828	0.0	0.0
SRR6443853_1										2.9158429822084155	0.6742445636825755	12.785936176221407	11.16210110138379	47.44069471900593	20.03671279299633	0.0
SRR6443853_2										6.417678621858232	3.2264896921773514	14.561564529793843	6.887178763061281	55.81756565941824	0.0	0.0
SRR6443854_1										4.205336426914153	1.7256380510440834	1.8488979118329467	9.02697215777262	15.063080046403712	0.0	64.03349767981439
SRR6443854_2										6.833671693735499	1.7111368909512763	7.685614849187935	11.169518561484919	4.4518561484918795	55.61194895591647	0.0
SRR6443855_1										4.365444833302634	1.4643580769939215	14.39031129121385	8.997973844170197	7.202062995026709	0.0	58.34868299871063
SRR6443855_2										5.931110701786701	3.900349972370602	17.724258611162277	9.81304107570455	0.0	0.0	53.393811014919876
SRR6443856_1										3.8646022317767232	1.0189626463205508	7.609911275691528	10.552476576285507	37.02810845738996	0.0	33.22812336903845
SRR6443856_2										5.375649278027686	3.0668290379501455	16.88247135720854	11.196162735790443	28.57320376767652	16.84022168650744	0.0
SRR6443857_1										4.212258329905389	0.6869600987248047	2.8506787330316743	7.659399424105306	4.95269436445907	0.0	75.71369806663924
SRR6443857_2										6.511723570547099	2.241875771287536	7.32620320855615	4.105306458247634	37.589469354175236	27.09584533113945	0.0
SRR6443858_1										3.6097661481405168	1.6091480374987124	8.393942515710313	4.110435768002472	20.95189038837952	10.777789224271144	45.55269393221387
SRR6443858_2										5.5897805707221595	2.1778098279592046	12.755743278046772	4.810961162048007	33.46657051612239	27.225713402699082	0.0
SRR6443859_1										3.683480481736718	1.928708249851384	4.0665800656113085	4.337391840419208	29.364362931812675	0.0	52.020079702327216
SRR6443859_2										4.795349963671591	2.1554855897311698	8.78046632466589	2.5694092780554394	39.11578854664348	31.066293841784276	0.0
SRR6443860_1										2.9521118381915525	2.176283957961531	12.913940115010906	10.901249256395003	45.1219512195122	18.29268292682927	0.0
SRR6443860_2										5.4506246281975015	3.177672020622645	19.32381518937141	17.02855443188578	37.814792782074164	0.0	0.0
